"","saledate","neigh","saleprice","landval","imprval","totalval","mbmancls","mbyrblt","mbeffyr","heattype","baseste","garagefl","carptfl","mktrcnld","linmcls","mbmclsdv","bedrooms","baths","familyrm","fireplcs","flrarea1","flrarea2","bsmtfin","mbmktval","mb_rcn","cp_mancl","cp_area","cpmktval","cp_rcn","gr_mancl","gar_area","gar_type","grmktval","gr_rcn","ob1mktval","lcs_val","width","depth","lot_size","conduit","alley","sidewalk","culdesac","corner","wooded","pie_shpe","slope","abv_road","splitlvl","crwlarea","bsmtarea","unfinbmt","area1_2","totarea","linmcdv","random","month"
"201",10417,716,201338.862585,67307.328,112334.684,179642.012,140,1997,1997,2,0,0,1,146048.320509,1,0,3,2.25,2,1,1152,0,690,138748.68378189,171660.6968895,921,456,7300.2268521,9789.6024954,0,0,0,0,0,0,53540.73,75.4,123.4,9306,1,0,0,1,0,0,1,0,0,1,0,1132,442,1152,1842,1,0.5202918,4
"202",10417,734,109888.5832275,29961.778,73779.398,103741.176,90,1984,1984,2,1,0,1,137410.587223,0.945,2,2,1,0,2,1062,0,800,123980.609853905,149790.76610715,921,448,7932.92492475,10992.88291815,0,0,0,0,0,5497.0704145,29190.75,59.9,152.7,9160,0,0,0,0,1,0,0,0,0,0,0,1062,262,1062,1862,0.9639,0.5220366,4
"203",170917,715,147694.289085,60147.78,108982.049,169129.829,140,1989,1989,7,0,0,1,139964.322225,1,0,2,2.25,1,2,1154,0,648,130224.09986586,168864.6466143,921,598,9739.9177785,14043.6422217,0,0,0,0,0,0,50954.72,70,119.8,8386,1,0,0,0,1,0,0,0,0,0,0,1154,506,1154,1802,1,0.5224336,9
"204",240617,731,153193.468969625,46542.408,112560.008,159102.416,90,1981,1981,2,0,1,1,142271.5141505,0.945,4,3,2,1,1,1125,0,800,126984.01576952,147125.43271755,921,378,6377.06890485,7316.7283098,920,300,2,8909.78255055,12053.84086935,0,38775,60,110,6600,0,1,0,0,1,0,0,0,0,0,0,1125,325,1125,1925,0.9828,0.5231963,6
"205",290917,716,135410.2546405,48922.456,75097.528,124019.984,90,2000,2000,2,0,0,1,93617.319488,0.945,1,2,1,0,1,899,0,110,91206.8028963,106985.3177925,911,329,2409.7977855,2974.24035405,0,0,0,0,0,0,46961.03,57.2,110,6296,1,0,0,0,0,0,0,0,0,0,0,836,726,899,1009,0.95445,0.5232762,9
"206",120517,737,117199.3100964,55932.8,92688.64,148621.44,90,1998,1998,2,0,0,1,117549.971917,0.945,2,3,1,1,1,1058,0,0,111581.47245623,129857.3716734,921,364,5967.8884755,7522.12718145,0,0,0,0,0,0,52001.38,55,110,6050,1,0,0,0,0,0,0,0,0,0,0,1040,1040,1058,1058,0.9639,0.524601,5
"207",11017,737,153604.5453852,59608.384,83899.2,143507.584,90,1996,1996,4,0,0,1,105470.433726,0.945,0,3,1,0,1,936,0,0,101008.65988136,121183.71695955,921,288,4462.16918805,5744.6991504,0,0,0,0,0,0,47236.4,64,120,7680,1,0,0,0,0,1,0,0,0,0,0,936,936,936,936,0.945,0.5267515,10
"208",120817,715,156133.962747,50839.195,102394.435,153233.63,90,1990,1990,6,0,1,0,126173.8493015,0.945,3,3,1,1,2,1170,0,751,122690.927769865,157681.6408692,0,0,0,0,920,0,3,3483.6942483,4732.2606177,0,49705.29,60,115,6900,1,0,0,0,0,1,0,0,0,0,0,1170,419,1170,1921,0.97335,0.5318443,8
"209",91017,731,109247.88939925,52483.992,48522.936,101006.928,80,1972,1972,2,0,0,0,51364.889142,0.783,-12,2,1,0,0,576,0,0,51365.155226175,72042.29038125,0,0,0,0,0,0,0,0,0,0,42044.71,90,110,9900,0,0,0,0,1,0,0,0,0,0,0,576,576,576,576,0.68904,0.5332934,10
"210",260317,716,168966.731738,58270.696,91456.948,149727.644,90,2000,2000,2,0,0,0,112687.247974,0.945,4,3,1.75,0,0,1060,0,200,111608.24798718,133299.015759,0,0,0,0,0,0,0,0,0,1078.2093,47596.56,55.6,119.9,6662,1,0,0,0,0,0,0,0,0,0,0,1060,860,1060,1260,0.9828,0.5350482,3
